epoch,train_loss,train_acc,train_acc_percent,val_loss,val_acc,val_acc_percent,val_no_glasses_acc,val_no_glasses_acc_percent,val_glasses_acc,val_glasses_acc_percent,best_val_acc_before_update,best_val_acc_before_update_percent,is_best_epoch,early_stop_counter_before_update,lr
1,0.7367940015792847,0.62525,62.52%,0.9618002324104309,0.53,53.00%,0.072,7.20%,0.988,98.80%,0.0,0.00%,True,0,0.0009990133642141358
2,0.28528510153293607,0.87875,87.88%,0.19948890829086305,0.932,93.20%,0.98,98.00%,0.884,88.40%,0.53,53.00%,True,0,0.000996057350657239
3,0.13560819736123084,0.95075,95.08%,0.09804950404167176,0.964,96.40%,0.94,94.00%,0.988,98.80%,0.932,93.20%,True,0,0.0009911436253643444
4,0.08548180615901947,0.9695,96.95%,0.13393965697288512,0.944,94.40%,0.972,97.20%,0.916,91.60%,0.964,96.40%,False,0,0.0009842915805643156
5,0.08700970646739006,0.96925,96.92%,0.11171939587593079,0.966,96.60%,0.992,99.20%,0.94,94.00%,0.964,96.40%,True,1,0.0009755282581475769
6,0.06532797840237617,0.9775,97.75%,0.08682425189018249,0.97,97.00%,0.992,99.20%,0.948,94.80%,0.966,96.60%,True,0,0.0009648882429441258
7,0.059695999205112454,0.97775,97.78%,0.08352787160873414,0.972,97.20%,0.968,96.80%,0.976,97.60%,0.97,97.00%,True,0,0.0009524135262330099
8,0.04970193523168564,0.98325,98.32%,0.31759077167510985,0.878,87.80%,0.76,76.00%,0.996,99.60%,0.972,97.20%,False,0,0.0009381533400219318
9,0.04592748245596886,0.983,98.30%,0.07687455487251282,0.97,97.00%,0.956,95.60%,0.984,98.40%,0.972,97.20%,False,1,0.0009221639627510075
10,0.037437039881944655,0.98625,98.62%,0.06759046006202697,0.976,97.60%,0.972,97.20%,0.98,98.00%,0.972,97.20%,True,2,0.0009045084971874736
11,0.03984022906422615,0.987,98.70%,0.06909874200820923,0.978,97.80%,0.984,98.40%,0.972,97.20%,0.976,97.60%,True,0,0.0008852566213878945
12,0.04475959178805351,0.9845,98.45%,0.19159700751304626,0.934,93.40%,0.88,88.00%,0.988,98.80%,0.978,97.80%,False,0,0.0008644843137107056
13,0.03464203274250031,0.98775,98.78%,0.04838384601473808,0.988,98.80%,0.988,98.80%,0.988,98.80%,0.978,97.80%,True,1,0.0008422735529643443
14,0.032207795321941374,0.98875,98.88%,0.08071872782707214,0.976,97.60%,0.976,97.60%,0.976,97.60%,0.988,98.80%,False,0,0.0008187119948743448
15,0.03410709446668625,0.98775,98.78%,0.07553923857212066,0.968,96.80%,0.976,97.60%,0.96,96.00%,0.988,98.80%,False,1,0.0007938926261462366
16,0.026916699022054673,0.99,99.00%,0.062177092671394346,0.982,98.20%,0.98,98.00%,0.984,98.40%,0.988,98.80%,False,2,0.0007679133974894982
17,0.018710254162549973,0.993,99.30%,0.08555267903208733,0.972,97.20%,0.952,95.20%,0.992,99.20%,0.988,98.80%,False,3,0.0007408768370508576
18,0.022513023614883422,0.9905,99.05%,0.05139104545116425,0.978,97.80%,0.984,98.40%,0.972,97.20%,0.988,98.80%,False,4,0.0007128896457825362
